SS,bitMux,RP,FU1,FU2,value
7,,-1,,,
6,,-1,,,
5,,-1,,,
4,,-1,,,
3,,-1,,,
2,,-1,,,
1,,-1,,,
0,,-1,,,
SS,bitMux,RP,FU1,FU2,value
7,,-1,,,
6,,-1,,,
5,,-1,,,
4,,-1,,,
3,,-1,,,
2,,-1,,,
1,,-1,,,
0,0,-1,inm,R2,1
SS,bitMux,RP,FU1,FU2,value
7,,-1,,,
6,,-1,,,
5,,-1,,,
4,,-1,,,
3,,-1,,,
2,,-1,,,
1,,-1,,,
0,0,-1,R1,R2,2
SS,bitMux,RP,FU1,FU2,value
7,,-1,,,
6,,-1,,,
5,,-1,,,
4,,-1,,,
3,,-1,,,
2,2,-1,R1,alu_1,2
1,,-1,,,
0,,-1,,,
SS,bitMux,RP,FU1,FU2,value
7,,-1,,,
6,,-1,,,
5,,-1,,,
4,,-1,,,
3,,-1,,,
2,2,-1,inm,alu_1,1
1,,-1,,,
0,0,-1,inm,R2,1
SS,bitMux,RP,FU1,FU2,value
7,,-1,,,
6,,-1,,,
5,,-1,,,
4,2,2,alu_1,alu_2,
3,,-1,,,
2,,-1,,,
1,,-1,,,
0,0,-1,R1,R2,2
SS,bitMux,RP,FU1,FU2,value
7,,-1,,,
6,,-1,,,
5,2,3,alu_2,alu_1,
4,,-1,,,
3,,-1,,,
2,,-1,,,
1,2,-1,R1,alu_1,2
0,,-1,,,
SS,bitMux,RP,FU1,FU2,value
7,,-1,,,
6,,-1,,,
5,2,-1,inm,alu_1,1
4,,-1,,,
3,,-1,,,
2,,-1,,,
1,2,-1,inm,alu_1,1
0,,-1,,,
SS,bitMux,RP,FU1,FU2,value
7,2,5,alu_1,alu_2,
6,,-1,,,
5,,-1,,,
4,,-1,,,
3,2,1,alu_1,alu_2,
2,,-1,,,
1,,-1,,,
0,,-1,,,
